ambient	plusFe
lcl|FLDA00M01A03BU	2	30
lcl|FLDA00M01A0AIU	1	2
lcl|FLDA00M01A0UWU	0	2
lcl|FLDA00M01A1BEH	0	4
lcl|FLDA00M01A1GBC	0	126
lcl|FLDA00M01A1IGW	0	4
lcl|FLDA00M01A1VDW	6	55
lcl|FLDA00M01A297E	2	0
lcl|FLDA00M01A2AOV	0	8
lcl|FLDA00M01A2K6K	0	3
lcl|FLDA00M01A2KRD	0	3
lcl|FLDA00M01A2NC4	13	86
lcl|FLDA00M01A2XWM	0	63
lcl|FLDA00M01A313A	0	27
lcl|FLDA00M01A346V	0	39
lcl|FLDA00M01A3HFY	6	0
lcl|FLDA00M01A3SQD	0	3
lcl|FLDA00M01A446U	0	3
lcl|FLDA00M01A45H3	0	1
lcl|FLDA00M01A47C5	0	3
lcl|FLDA00M01A4EY0	0	1
lcl|FLDA00M01A4H2Y	0	12
lcl|FLDA00M01A4Q9C	2	35
lcl|FLDA00M01A54OD	0	343
lcl|FLDA00M01A5I58	1	1
lcl|FLDA00M01A6O9C	21	0
lcl|FLDA00M01A6UZZ	0	2
lcl|FLDA00M01A7325	0	2
lcl|FLDA00M01A762L	0	4
lcl|FLDA00M01A76CB	55	18
lcl|FLDA00M01A7D60	0	31
lcl|FLDA00M01A7ER2	0	1
lcl|FLDA00M01A7KLA	0	49
lcl|FLDA00M01A7LQA	0	2
lcl|FLDA00M01A867X	16	2
lcl|FLDA00M01A8JW2	0	4
lcl|FLDA00M01A8PR6	0	2
lcl|FLDA00M01A8QIJ	1	1
lcl|FLDA00M01A8V30	12	79
lcl|FLDA00M01A90Q2	0	7
lcl|FLDA00M01A91HM	0	4
lcl|FLDA00M01A931X	1	2
lcl|FLDA00M01A9JMF	2	26
lcl|FLDA00M01A9O5P	0	16
lcl|FLDA00M01A9V15	1	2
lcl|FLDA00M01AF291	0	14
lcl|FLDA00M01AGISE	0	3
lcl|FLDA00M01AHC0R	0	5
lcl|FLDA00M01AIMPT	1	0
lcl|FLDA00M01AJ5PK	3	7
lcl|FLDA00M01AJ6VP	0	18
lcl|FLDA00M01AJDVO	0	3
lcl|FLDA00M01AJQFM	17	105
lcl|FLDA00M01AKX4S	2	2
lcl|FLDA00M01AL2TT	0	102
lcl|FLDA00M01ALCSZ	0	7
lcl|FLDA00M01ALF17	0	6
lcl|FLDA00M01ALMHU	2	23
lcl|FLDA00M01AM43H	58	43
lcl|FLDA00M01AMBGR	0	34
lcl|FLDA00M01AMF8D	0	1
lcl|FLDA00M01AMWAU	0	60
lcl|FLDA00M01AN222	1	17
lcl|FLDA00M01ANJQH	0	5
lcl|FLDA00M01AO4T2	4	0
lcl|FLDA00M01AOLOK	0	1
lcl|FLDA00M01AP5YG	0	2
lcl|FLDA00M01APAFA	7	0
lcl|FLDA00M01APIEH	0	17
lcl|FLDA00M01APRW7	0	1
lcl|FLDA00M01APW3E	0	57
lcl|FLDA00M01APWKI	4	117
lcl|FLDA00M01AQ2BJ	0	5
lcl|FLDA00M01AQ8VE	0	11
lcl|FLDA00M01AQ9G4	1	0
lcl|FLDA00M01AQD7B	0	29
lcl|FLDA00M01AQGSB	2	22
lcl|FLDA00M01AQKQ1	0	1
lcl|FLDA00M01AQRNV	1	4
lcl|FLDA00M01AQSWQ	0	2
lcl|FLDA00M01ARZ9Q	1	28
lcl|FLDA00M01AS3JS	5	96
lcl|FLDA00M01AS4G3	0	5
lcl|FLDA00M01AS9F7	0	6
lcl|FLDA00M01ASCVU	4	0
lcl|FLDA00M01ASEN4	0	14
lcl|FLDA00M01ASJUT	1	32
lcl|FLDA00M01ASTKB	124	453
lcl|FLDA00M01ASTO3	0	13
lcl|FLDA00M01ATDAF	2	0
lcl|FLDA00M01ATGK7	1	4
lcl|FLDA00M01ATZ5T	2	4
lcl|FLDA00M01AU03C	0	5
lcl|FLDA00M01AUUU4	1	19
lcl|FLDA00M01AV27V	0	3
lcl|FLDA00M01AVECW	3	10
lcl|FLDA00M01AVEDK	0	9
lcl|FLDA00M01AVXAZ	1	5
lcl|FLDA00M01AVXNR	0	11
lcl|FLDA00M01AW72E	0	3
lcl|FLDA00M01AWBYT	4	0
lcl|FLDA00M01AWTPL	0	13
lcl|FLDA00M01AWUQ8	0	1
lcl|FLDA00M01AXA36	0	7
lcl|FLDA00M01AXA58	0	25
lcl|FLDA00M01AXD66	0	10
lcl|FLDA00M01AXG33	0	2
lcl|FLDA00M01AXI0P	0	6
lcl|FLDA00M01AXPC5	91	11
lcl|FLDA00M01AXXS5	3	25
lcl|FLDA00M01AYBUK	0	2
lcl|FLDA00M01AYJ3D	0	3
lcl|FLDA00M01AYL8Q	0	26
lcl|FLDA00M01AYSQE	3	4
lcl|FLDA00M01AYUWY	0	1
lcl|FLDA00M01AYXVG	3	98
lcl|FLDA00M01AZ7FR	7	9
lcl|FLDA00M01AZ99B	0	43
lcl|FLDA00M01AZA8V	0	3
lcl|FLDA00M01AZI7X	1	3
lcl|FLDA00M01AZT6E	0	8
lcl|FLDA00M01B057E	0	2
lcl|FLDA00M01B057Q	3	0
lcl|FLDA00M01B06UC	0	26
lcl|FLDA00M01B0ES1	2	7
lcl|FLDA00M01B0GUI	1	0
lcl|FLDA00M01B0J5I	1	36
lcl|FLDA00M01B0PXY	0	13
lcl|FLDA00M01B0QQB	1	12
lcl|FLDA00M01B0W29	2	0
lcl|FLDA00M01B11YR	2	11
lcl|FLDA00M01B1418	0	6
lcl|FLDA00M01B19R6	0	2
lcl|FLDA00M01B1B7A	0	34
